Compound Name (384),TimTech ID,Custom TT 96 Position,TT 384 Custom LDV Position,Primary FRET Screen Avg %,Reorder FRET Screen (10uM) Average %,IC50 Curve FRET (10uM) Avg %,NSP15 FRET (10uM) Average % ,SARS FRET (10uM) Average %,OC43 FRET (10uM) Average %,MERS FRET (10uM) Average %,229E FRET (10uM) Average %,MHV FRET (10uM) Average %,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,Estimated IC50 (From 4 Point Curve)
59-O09,ST015820,P1-A2,A3,5.6,8.9,6.7,50.1,4.2,11.2,32.4,4.2,6.4,76.0,107.3,82.6,71.9,93.6,100.4,77.4,71.5,1.588
85-G19,ST053962,P1-A1,A1,5.3,9.0,5.8,63.0,4.5,11.9,31.0,4.2,7.8,72.9,67.7,69.4,47.0,85.1,72.6,38.9,66.6,1.725
145-N15,ST097490,P2-D4,G8,56.0,9.3,5.8,49.9,4.5,11.9,34.3,4.7,7.0,107.6,93.0,104.0,112.6,144.0,131.5,135.8,115.9,0.6935
159-P9,ST095455,P2-C4,E8,6.1,9.3,6.1,32.5,4.5,11.0,34.3,4.4,6.0,99.6,94.9,91.4,101.5,101.6,93.0,117.9,110.5,0.1531
118-C21,ST012959,P1-A7,A13,7.4,9.5,7.8,82.9,15.0,55.8,33.5,10.8,13.4,73.8,97.1,95.3,117.4,113.0,130.4,75.2,105.7,2.334
141-J15,ST095456,P2-C5,E10,6.5,9.5,6.0,61.3,4.7,12.6,35.1,4.9,7.8,94.0,85.4,97.2,137.8,124.9,95.2,113.3,116.9,0.5973
141-D16,ST095642,P2-C6,E12,6.3,9.7,6.8,80.2,11.0,44.0,35.8,10.2,13.4,97.4,102.3,104.0,141.0,114.0,95.7,134.6,111.6,1.855
159-D11,ST095645,P2-C7,E14,5.9,10.3,6.3,54.7,5.0,11.8,35.4,4.6,7.3,91.3,90.5,105.8,136.4,115.3,89.8,96.1,110.1,0.6546
53-D08,ST005540,P1-C10,E19,38.5,10.8,7.3,87.4,35.4,69.1,36.5,25.1,22.5,81.8,117.2,88.9,150.0,101.5,126.7,117.3,130.5,
155-C20,ST103661,P2-D6,G12,6.3,11.5,15.4,5.8,20.5,15.1,36.0,5.4,9.2,99.8,95.3,69.7,107.9,87.1,100.3,40.6,113.9,4.73
59-M05,ST015625,P1-A4,A7,5.9,11.8,19.3,92.7,65.1,85.4,36.8,52.6,32.5,78.7,116.4,85.1,101.4,116.0,131.9,108.9,129.0,2.148
87-K16,ST057196,P1-B10,C19,22.3,12.1,17.7,91.4,74.1,77.7,36.5,46.7,38.3,71.8,113.0,66.6,114.4,110.0,138.2,104.8,115.3,2.233
14-D9,ST078179,P1-B9,C17,21.8,16.3,30.9,91.8,80.2,72.2,38.8,62.6,55.0,72.8,96.5,72.9,122.7,107.9,129.7,94.1,134.5,2.158
37-E19,ST50593644,P2-E4,I8,66.0,16.8,17.2,21.9,19.1,17.7,34.3,5.2,20.0,106.4,95.1,69.2,109.6,86.1,82.1,98.8,111.2,
3-K17,ST025604,P1-H10,O19,61.5,19.2,28.8,80.5,35.1,25.4,35.2,7.2,30.1,95.0,104.1,82.2,104.6,102.7,111.1,155.1,104.0,
107-I22,ST044643,P1-B3,C5,13.0,20.5,27.3,72.1,53.0,68.4,37.5,22.3,54.7,70.9,111.0,92.8,125.3,119.6,127.9,88.8,132.2,7.224
141-A8,ST095279,P2-C3,E6,12.5,20.5,31.3,85.2,68.9,91.0,36.5,61.4,53.1,100.1,88.5,102.3,119.7,119.5,84.5,129.8,120.7,10.47
89-L10,ST059619,P1-G12,M23,58.6,22.0,25.2,93.5,40.2,40.8,36.3,71.5,12.3,85.1,83.9,35.2,68.1,68.3,65.6,89.6,93.2,
48-A21,ST078868,P1-C2,E3,26.9,22.5,27.5,15.6,33.9,28.3,37.1,5.4,41.3,34.6,67.0,8.7,35.2,19.3,49.0,1.9,48.8,9.709
130-L9,S480037,P1-B6,C11,16.6,23.2,60.8,88.3,72.5,60.2,36.6,47.2,5.5,81.1,113.5,89.5,112.8,123.6,139.6,82.8,133.3,
15-P14,ST080684,P1-D11,G21,46.2,23.5,23.0,90.1,47.1,52.4,38.1,19.0,37.1,6.1,13.7,75.0,3.3,4.7,6.5,2.2,9.4,3.9
87-O4,ST056985,P1-C4,E7,30.8,24.0,57.2,92.9,76.2,46.2,47.1,87.7,33.2,94.9,109.6,100.4,140.1,128.2,138.1,120.9,137.0,
144-K5,ST096802,P2-C10,E20,24.2,26.6,37.5,90.0,31.6,51.1,69.1,39.6,35.5,71.2,78.8,59.0,72.0,108.6,80.5,130.0,113.3,2.366
144-M7,ST096813,P2-C11,E22,30.2,27.7,43.1,91.7,32.8,43.4,65.9,31.8,42.6,69.3,76.9,37.5,90.2,26.5,68.7,2.6,75.8,2.227
106-O19,ST039458,P1-A10,A19,8.9,30.9,44.3,99.7,46.6,32.5,36.7,15.6,67.4,81.1,108.1,79.5,117.2,92.3,120.5,101.4,119.3,2.412
16-M9,ST081120,P1-F1,K1,53.6,31.3,44.5,76.0,60.7,46.5,34.2,13.7,58.0,97.1,93.6,55.1,54.1,81.1,69.8,69.4,73.3,
37-I17,ST50598522,P1-E9,I17,50.6,33.0,57.0,93.1,44.5,46.2,50.4,59.7,46.3,89.9,115.6,86.8,117.0,52.6,73.5,11.7,101.5,
100-C16,ST075164,P1-B11,C21,22.8,33.3,39.2,120.7,62.7,18.9,49.4,81.3,25.9,47.1,65.7,1270.1,79.1,818.4,86.7,32.6,15.4,2.723
136-M20,ST085716,P1-G2,M3,56.7,33.9,64.5,86.4,68.4,25.6,39.5,89.7,45.0,81.2,114.4,63.6,66.7,72.4,59.6,178.2,37.3,
49-F21,ST080856,P1-H9,O17,61.5,35.4,48.0,88.4,66.0,54.1,34.7,29.9,73.9,65.8,76.9,77.9,41.1,143.9,35.6,76.0,51.5,2.68
122-C11,R162809,P1-C3,E5,30.3,35.6,27.1,18.8,39.8,15.0,34.5,5.5,18.1,86.1,108.7,62.7,72.6,98.1,85.6,37.0,55.3,
130-J6,S511129,P1-E10,I19,50.8,35.6,48.0,42.0,76.1,55.5,41.8,38.6,75.9,84.2,111.2,73.3,123.4,86.3,112.2,94.0,121.4,2.995
64-G05,ST025603,P1-E6,I11,49.5,37.3,31.2,76.0,42.1,41.8,36.1,7.9,52.4,90.9,122.1,80.5,106.5,95.1,110.7,94.7,138.5,10.57
160-A7,ST105528,P2-D11,G22,41.1,38.9,20.6,94.7,90.2,86.1,43.2,82.1,73.5,81.9,102.7,92.4,103.9,95.1,92.3,115.5,109.6,
35-L13,ST50652791,P1-G10,M19,58.4,39.9,62.3,94.4,54.1,66.9,71.3,74.0,55.8,90.6,88.4,67.4,85.6,69.9,83.7,26.4,88.4,
106-F16,ST042187,P1-B1,C1,12.0,40.0,61.3,85.2,55.4,47.4,36.4,40.4,39.7,72.4,97.4,62.5,60.2,97.7,104.1,43.0,69.7,
137-B19,ST088423,P2-B10,C20,65.7,40.1,51.7,87.9,73.9,33.1,37.2,8.3,51.8,57.4,79.9,57.2,62.3,78.7,87.5,95.5,98.5,
67-L20,ST030726,P1-E11,I21,50.8,40.7,55.2,89.5,45.1,57.9,77.9,52.7,52.2,73.8,89.2,56.1,129.9,50.0,91.2,23.6,66.6,
59-O05,ST015627,P1-B5,C9,15.7,42.2,41.0,92.1,83.0,97.2,43.8,78.2,74.0,75.7,119.2,77.6,116.6,123.1,136.3,96.2,136.5,
156-N4,ST104704,P2-D8,G16,43.2,42.4,43.6,88.2,57.4,47.0,38.6,69.6,47.8,94.3,88.8,62.6,137.5,50.1,75.7,160.5,109.5,2.551
74-K22,ST039256,P1-C6,E11,32.4,42.7,56.6,91.3,53.1,33.7,36.0,19.0,65.1,81.8,117.9,83.4,112.6,106.5,118.3,83.8,132.2,
65-J18,ST027857,P1-C9,E17,36.9,43.3,60.7,92.2,51.5,65.0,77.6,58.6,51.7,77.6,97.0,75.7,141.2,90.8,121.1,51.7,135.9,
104-L18,ST028855,P1-B12,C23,24.5,44.4,64.6,82.9,76.5,71.8,38.2,39.7,70.1,63.9,101.9,59.4,108.3,56.6,88.9,109.0,75.2,
109-C13,ST066661,P1-C5,E9,31.5,45.6,90.5,97.1,83.4,67.2,51.4,91.9,59.9,81.4,121.4,106.1,122.7,129.0,135.5,107.2,133.4,
33-I19,ST50601890,P1-F7,K13,55.6,49.0,62.5,81.9,58.5,61.2,73.9,75.7,44.7,98.2,86.9,71.0,100.2,24.6,54.7,1.3,96.0,
23-G7,ST092789,P1-D2,G3,41.4,49.8,70.3,85.8,45.9,69.4,86.1,63.6,52.7,58.7,72.7,40.2,69.2,69.0,91.7,12.3,96.0,
70-F11,ST034398,P1-H8,O15,61.0,50.9,70.4,94.0,68.1,55.8,61.1,77.7,74.5,96.1,100.6,240.4,103.1,135.3,126.7,147.2,112.6,
87-D22,ST057760,P1-D1,G1,40.6,54.4,83.4,86.7,72.0,59.4,49.8,77.6,60.3,77.1,106.9,68.8,74.6,89.1,65.8,55.4,70.4,
112-F9,R870900,P2-E2,I4,43.9,55.8,64.5,95.7,51.0,88.8,89.5,72.7,57.1,82.5,76.1,87.1,38.4,130.0,32.8,90.8,56.7,
143-A15,ST096275,P2-C9,E18,51.4,57.6,78.3,88.2,62.1,61.1,68.6,68.6,60.6,86.5,93.5,136.1,136.4,150.2,94.8,51.4,103.3,
