READDI ID,Compound Name from Primary Screen (384),TimTech ID,Reorder 96-well Position,TT 384 Custom LDV Position,Brutto Formula,IUPAC NAME,SMILES,Primary SARS2  FRET Screen (10uM) Avg % of DMSO,Reorder SARS2 FRET Screen (10uM) Ave % of DMSO,Reorder SARS2 IC50 Curve FRET (10uM) Avg % of DMSO,Estimated IC50 (From 4 Point Curve),SARS2 NSP Complex FRET (10 uM) Average %,NSP15 FRET (10uM) Average % DMSO,SARS1 FRET (10uM) Average % DMSO,OC43 FRET (10uM) Average % DMSO,MERS FRET (10uM) Average % DMSO,229E FRET (10uM) Average % DMSO,MHV FRET (10uM) Average % DMSO,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (25 uM) Low MOI %Virus,OC43 A549 (25 uM) LOW MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells
RA-0020552-01,141-G08,ST095282,P3-B10,I14,C14H12F3NO,"(4,5-dimethyl-2-(trifluoromethyl)-1H-pyrrol-3-yl)(phenyl)methanone",O=C(c1c(C)c([nH]c1C(F)(F)F)C)c1ccccc1,6.4,6.1,6.5,0.6506,4.6,63.9,6.7,13.3,26.6,,9.9,93.4,96.8,68.1,94.7,,,,,,
RA-0020553-01,141-H16,ST095644,P3-B11,I16,C17H19ClN2O4,"5-acetyl-N-(4-chloro-2,5-dimethoxyphenyl)-2,4-dimethyl-1H-pyrrole-3-carboxamide",COc1cc(Cl)c(cc1NC(=O)c1c(C)[nH]c(c1C)C(=O)C)OC,6.4,6.1,6.3,0.3542,4.7,35.7,6.2,12.7,25.9,,7.9,98.6,93.8,140.2,98.6,,,,,,
RA-0020555-01,141-M06,ST095272,P3-B9,I12,C12H17NO,"2,3,6,6-tetramethyl-1,5,6,7-tetrahydro-4H-indol-4-one",O=C1CC(C)(C)Cc2c1c(C)c([nH]2)C,6.3,6.2,6.1,0.7421,4.7,81.2,14.5,14,27.1,,10.9,101.7,99.7,111.3,103.5,,,,,,
RA-0020081-01,59-O09,ST015820,P1-A2,A3,C18H11BrN4O,"3-(5-bromopyridin-2-yl)-2-(pyridin-3-yl)-3,4-dihydroquinazolin-4-one",BrC1=CN=C(N2C(C3=CN=CC=C3)=NC4=CC=CC=C4C2=O)C=C1,5.6,8.9,6.7,1.588,4.9,50.1,4.2,11.2,32.4,4.2,6.4,76,107.3,77.4,71.5,82.6,71.9,72,122.9,93.6,100.4
RA-0020082-01,85-G19,ST053962,P1-A1,A1,C16H15NO4S,"2-[(2E)-3-(furan-2-yl)prop-2-enamido]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxylic acid",OC(C1=C(SC2=C1CCCC2)NC(C=CC3=CC=CO3)=O)=O,5.3,9,5.8,1.725,5.7,63,4.5,11.9,31,4.2,7.8,72.9,67.7,38.9,66.6,69.4,47,52.2,101.2,85.1,72.6
RA-0020083-01,145-N15,ST097490,P2-D4,G8,C11H13NO2,"2-acetyl-3-methyl-4,5,6,7-tetrahydro-1H-indol-4-one
",CC(=O)C1=C(C)C2=C(CCCC2=O)[NH]1,56,9.3,5.8,0.6935,5,49.9,4.5,11.9,34.3,4.7,7,107.6,93,135.8,115.9,104,112.6,100.4,146.9,144,131.5
RA-0020084-01,159-P9,ST095455,P2-C4,E8,C16H18N2O2,"5-acetyl-2,4-dimethyl-N-(4-methylphenyl)-1H-pyrrole-3-carboxamide",CC(=O)C1=C(C)C(=C(C)[NH]1)C(=O)NC2=CC=C(C)C=C2,6.1,9.3,6.1,0.1531,5.1,32.5,4.5,11,34.3,4.4,6,99.6,94.9,117.9,110.5,91.4,101.5,105,136.8,101.6,93
RA-0020556-01,152-N13,ST101866,P3-C2,I18,C15H10O7,"5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-chromen-4-one",Oc1cc(O)c2c(c1)oc(cc2=O)c1cc(O)c(c(c1)O)O,37.4,9.4,10.5,1.435,36.4,31.4,11.4,17.6,24.3,,6.4,97.8,96.5,124.9,98.4,,,,,,
RA-0020085-01,118-C21,ST012959,P1-A7,A13,C24H25ClN4O3,"4-{[4-(dimethylamino)phenyl][(E)-[(2-hydroxy-5-nitrophenyl)methylidene]amino]methylidene}-N,N-dimethylcyclohexa-2,5-dien-1-iminium chloride",C/[N+](C)=C1C=C/C(C=C\1)=C(/N=C/C2=CC([N+]([O-])=O)=CC=C2O)C3=CC=C(C=C3)N(C)C,7.4,9.5,7.8,2.334,49.2,82.9,15,55.8,33.5,10.8,13.4,73.8,97.1,75.2,105.7,95.3,117.4,110.4,139.5,113,130.4
RA-0020086-01,141-J15,ST095456,P2-C5,E10,C15H15NO2,"1-(4-benzoyl-3,5-dimethyl-1H-pyrrol-2-yl)ethan-1-one
",CC(=O)C1=C(C)C(=C(C)[NH]1)C(=O)C2=CC=CC=C2,6.5,9.5,6,0.5973,5.7,61.3,4.7,12.6,35.1,4.9,7.8,94,85.4,113.3,116.9,97.2,137.8,122.6,147.5,124.9,95.2
